route_id,trip_id,service_id,direction_id,shape_id
INN-202,1286-79821-58200-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-73800-2-c50ccb45,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-29400-2-1a001b34,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-74700-2-45063cb2,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-59400-2-e30bf04a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-70200-2-1b58af00,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43800-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-67200-2-d847952f,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-44400-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-49800-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-56400-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-42000-2-1ecf1ff2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-77400-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-36000-2-c11edfe3,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-40200-2-62743ca5,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-39600-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-77100-2-680d406d,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-33000-2-6292aa1f,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-83700-2-781b19c2,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-34800-2-84fc65a2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-42600-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79831-84600-2-c9fa9b07,Sunday-1,0,1286-79831-67e249b9
INN-202,1286-79821-24000-2-5d5fd43c,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-43200-2-6cea8abc,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79825-32760-2-8b17799e,Sunday-1,0,1286-79825-43f36243
INN-202,1286-79821-25200-2-6f34802a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-39000-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-53400-2-a5c42d42,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-83700-2-3fb85e2b,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-45600-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-72900-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-32400-2-84fc65a2,Weekend-1,0,1286-79821-67e249b9
INN-202,1286-79821-66000-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-62400-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-47400-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-67800-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-22800-2-9d3ee522,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-67200-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-31200-2-84fc65a2,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-81000-2-45063cb2,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-65400-2-d847952f,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-34800-2-ae912dce,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-39600-2-1ecf1ff2,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-67800-2-0fbd2a86,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-80100-2-1d7d3646,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-54600-2-8956be83,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-64200-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-66600-2-dbf2f22b,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-22200-2-9d3ee522,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-71400-2-24b161d3,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-41400-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-30600-2-3eba3d07,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-81000-2-1d7d3646,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-27000-2-3eba3d07,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-33600-2-ae912dce,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-27600-2-6f34802a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79825-25860-2-e9080d33,Weekday-1,0,1286-79825-43f36243
INN-202,1286-79821-68400-2-95cb4d9f,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-31800-2-84fc65a2,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-54600-2-e30bf04a,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-46800-2-1cb342bb,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-61200-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-73800-2-e17e0010,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-78000-2-680d406d,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-38400-2-1ecf1ff2,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-61800-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-52800-2-a5c42d42,Sunday-1,0,1286-79821-67e249b9
INN-202,1286-79821-58800-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-73200-2-24b161d3,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-70200-2-a36755b0,Saturday-1,0,1286-79821-67e249b9
INN-202,1286-79821-49800-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-57600-2-62b68399,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-77400-2-45063cb2,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-64800-2-96fb522d,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-46800-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-65400-2-24ed7dd6,Weekday-1,0,1286-79821-67e249b9
INN-202,1286-79821-49200-2-36ba4137,Weekday-1,0,1286-79821-67e249b9
